date,naive,naive_lower,naive_upper,resolved,resolved_lower,resolved_upper,delay_adjusted,delay_adjusted_lower,delay_adjusted_upper
2026-05-14,,,,,,,,,
2026-05-15,0.0,0.0,0.24705263800047092,,,,,,
2026-05-16,0.0,0.0,0.24705263800047092,,,,0.0001,0.0001,0.9999
2026-05-17,0.0,0.0,0.24705263800047092,,,,0.0001,0.0001,0.8534
2026-05-18,0.0,0.0,0.10576281007457927,,,,0.0001,0.0001,0.6171
2026-05-19,0.0,0.0,0.06977703074953864,,,,0.0001,0.0001,0.4727
2026-05-20,0.0,0.0,0.06266748091448493,,,,0.0001,0.0001,0.27390000000000003
2026-05-21,0.02531645569620253,0.003080780785419974,0.08847699279560357,1.0,0.15811388300841897,1.0,0.2,0.0364,0.4993
2026-05-22,0.060240963855421686,0.01984732124174054,0.1350082396842335,1.0,0.4781762498950185,1.0,0.35710000000000003,0.1459,0.6165
2026-05-23,0.05263157894736842,0.017307875846439967,0.11856278880488619,1.0,0.4781762498950185,1.0,0.2381,0.09280000000000001,0.44370000000000004
2026-05-24,0.04950495049504951,0.016267215110638195,0.11175505863466603,1.0,0.4781762498950185,1.0,0.1786,0.06810000000000001,0.3452
2026-05-25,0.05,0.016431879182052155,0.11283491110546275,1.0,0.4781762498950185,1.0,0.1429,0.0538,0.2822
2026-05-26,0.04504504504504504,0.014785567688502671,0.10199332558883982,1.0,0.4781762498950185,1.0,0.1136,0.0424,0.22840000000000002
2026-05-27,0.04201680672268908,0.013781395190122775,0.09533092973764726,1.0,0.4781762498950185,1.0,0.09620000000000001,0.0357,0.1953
2026-05-28,0.17695473251028807,0.13112227102823168,0.23086005217551323,1.0,0.9177888788458615,1.0,0.7167,0.5953,0.8199000000000001
2026-05-29,0.1728395061728395,0.1274978187695833,0.22636074182527002,1.0,0.9159161450596448,1.0,0.6232,0.506,0.7314
2026-05-30,0.1728395061728395,0.1274978187695833,0.22636074182527002,1.0,0.9159161450596448,1.0,0.5181,0.4113,0.6237
2026-05-31,0.1728395061728395,0.1274978187695833,0.22636074182527002,1.0,0.9159161450596448,1.0,0.4343,0.33940000000000003,0.5327000000000001
2026-06-01,0.1744186046511628,0.13581878908208364,0.21873052830984216,1.0,0.9403705077138331,1.0,0.5214,0.4312,0.6106
2026-06-02,0.17079889807162535,0.13352979659815378,0.21353811203632178,1.0,0.942237365570709,1.0,0.4632,0.3808,0.5471
2026-06-03,0.14285714285714285,0.10917504316685771,0.18225221831248575,1.0,0.9339684857555782,1.0,0.40130000000000005,0.3267,0.47900000000000004
2026-06-04,0.18222222222222223,0.147632816734167,0.22105150176251903,1.0,0.9560105458131576,1.0,0.5028,0.4303,0.5751000000000001
2026-06-05,0.1762295081967213,0.14344759851385006,0.21299175140064022,1.0,0.9580129846958555,1.0,0.4612,0.394,0.5293
2026-06-06,0.1766990291262136,0.1447213751566845,0.21243959335558965,1.0,0.9602735023081505,1.0,0.4274,0.36510000000000004,0.4912
2026-06-07,0.18363636363636363,0.1521406309352235,0.2185747145499878,1.0,0.9641353796099963,1.0,0.4151,0.3569,0.47500000000000003
2026-06-08,0.1929530201342282,0.16201944459382614,0.22696443116400877,1.0,0.9684318040117529,1.0,0.4189,0.3637,0.4756
2026-06-09,0.2,0.16955548898242445,0.23326333460643922,1.0,0.9713714938656124,1.0,0.41340000000000005,0.36100000000000004,0.467
2026-06-10,0.20118343195266272,0.17158246357471463,0.2334194437847783,1.0,0.9732404416208567,1.0,0.39940000000000003,0.35000000000000003,0.4504
2026-06-11,0.20609579100145137,0.176478445195995,0.23825464226712065,1.0,0.9743565015155368,1.0,0.3794,0.3327,0.4277
2026-06-12,0.20609579100145137,0.176478445195995,0.23825464226712065,1.0,0.9743565015155368,1.0,0.3487,0.3049,0.39440000000000003
2026-06-13,0.23145780051150894,0.20231608825241512,0.2626399155122335,1.0,0.9798257301870499,1.0,0.406,0.3622,0.45080000000000003
2026-06-14,0.2376237623762376,0.20865869234651693,0.26851703310075553,1.0,0.9809704778312202,1.0,0.40040000000000003,0.3582,0.4436
2026-06-15,0.22528735632183908,0.19792087822932308,0.25452815711054144,1.0,0.9813551920506699,1.0,0.38180000000000003,0.34140000000000004,0.4233
2026-06-16,0.25096030729833546,0.22090059794002448,0.2829132877828604,1.0,0.9813551920506699,1.0,0.3584,0.31980000000000003,0.3982
2026-06-17,0.25975473801560756,0.23132925758998307,0.28976755680727595,1.0,0.9842925682535313,1.0,0.39740000000000003,0.35910000000000003,0.43660000000000004
2026-06-18,0.26746724890829693,0.2390424745329073,0.29739585943883906,1.0,0.9850561337717079,1.0,0.3932,0.3561,0.4312
2026-06-19,0.2583682008368201,0.23087658710703585,0.28735684313960863,1.0,0.9851762353944038,1.0,0.37320000000000003,0.3376,0.4097
2026-06-20,0.25324027916251246,0.22658587509853184,0.28135134594430516,1.0,0.9855818047557556,1.0,0.3618,0.3274,0.3971
2026-06-21,0.2547709923664122,0.22863212331437827,0.28229464539328264,1.0,0.9862789753697232,1.0,0.3594,0.326,0.3937
2026-06-22,0.253199268738574,0.2276667431341321,0.280066341562379,1.0,0.9867710279575302,1.0,0.3531,0.32070000000000004,0.3864
2026-06-23,0.2609865470852018,0.2354187951659084,0.2878218782613554,1.0,0.9874034474730186,1.0,0.3517,0.32020000000000004,0.3841
2026-06-24,0.2623376623376623,0.2371666610926148,0.2887249674240488,1.0,0.9878992899779208,1.0,0.3482,0.3175,0.3798
2026-06-25,0.2891891891891892,0.26265482656296507,0.3168458675366386,1.0,0.98857394263048,1.0,0.3514,0.3214,0.38230000000000003
2026-06-26,0.2891891891891892,0.26265482656296507,0.3168458675366386,1.0,0.98857394263048,1.0,0.3367,0.30770000000000003,0.3667
2026-06-27,0.2891891891891892,0.26265482656296507,0.3168458675366386,1.0,0.98857394263048,1.0,0.32380000000000003,0.29560000000000003,0.3529
2026-06-28,0.2891891891891892,0.26265482656296507,0.3168458675366386,1.0,0.98857394263048,1.0,0.3131,0.2856,0.3415
2026-06-29,0.29932483120780196,0.27482997571752643,0.32470766026347786,1.0,0.9907972945765966,1.0,0.37570000000000003,0.3473,0.4047
2026-06-30,0.31152204836415365,0.2873740107738213,0.3364602578959318,1.0,0.9916132673108207,1.0,0.4002,0.3718,0.42910000000000004
2026-07-01,0.3095890410958904,0.28593464912789146,0.33401196729900595,1.0,0.9918719747572211,1.0,0.4002,0.37220000000000003,0.42860000000000004
2026-07-02,0.31491344873502,0.2914715570220421,0.33908126453316345,1.0,0.9922314330317699,1.0,0.4037,0.37610000000000005,0.43160000000000004
2026-07-03,0.3219895287958115,0.29859561509711957,0.3460695656058585,1.0,0.992530315336405,1.0,0.40440000000000004,0.3773,0.4318
2026-07-04,0.3241511851377322,0.30096067795255915,0.3480050213076693,1.0,0.992736233998274,1.0,0.39980000000000004,0.3734,0.4267
2026-07-05,0.3208128078817734,0.2981432123142545,0.3441319328970284,1.0,0.9929446240269331,1.0,0.3967,0.37070000000000003,0.42310000000000003
2026-07-06,0.3395784543325527,0.3171187074145599,0.3625907592880929,1.0,0.9936600458701595,1.0,0.42500000000000004,0.3992,0.4511
2026-07-07,0.34110289937464466,0.3189443503578466,0.36379276062333915,1.0,0.9938707286693308,1.0,0.4244,0.399,0.45
2026-07-08,0.3487982112912241,0.326697292348796,0.3713961280746261,1.0,0.9941057737219192,1.0,0.4257,0.40080000000000005,0.4509
