date,naive,naive_lower,naive_upper,resolved,resolved_lower,resolved_upper,delay_adjusted,delay_adjusted_lower,delay_adjusted_upper
2026-05-14,,,,,,,,,
2026-05-15,0.0,0.0,0.24705263800047092,,,,,,
2026-05-16,0.0,0.0,0.24705263800047092,,,,0.0001,0.0001,0.9999
2026-05-17,0.0,0.0,0.24705263800047092,,,,0.0001,0.0001,0.8534
2026-05-18,0.0,0.0,0.10576281007457927,,,,0.0001,0.0001,0.6171
2026-05-19,0.0,0.0,0.06977703074953864,,,,0.0001,0.0001,0.4727
2026-05-20,0.0,0.0,0.06266748091448493,,,,0.0001,0.0001,0.27390000000000003
2026-05-21,0.02531645569620253,0.003080780785419974,0.08847699279560357,1.0,0.15811388300841897,1.0,0.2,0.0364,0.4993
2026-05-22,0.060240963855421686,0.01984732124174054,0.1350082396842335,1.0,0.4781762498950185,1.0,0.35710000000000003,0.1459,0.6165
2026-05-23,0.05263157894736842,0.017307875846439967,0.11856278880488619,1.0,0.4781762498950185,1.0,0.2381,0.09280000000000001,0.44370000000000004
2026-05-24,0.05,0.016431879182052155,0.11283491110546275,1.0,0.4781762498950185,1.0,0.1786,0.06810000000000001,0.3452
2026-05-25,0.05,0.016431879182052155,0.11283491110546275,1.0,0.4781762498950185,1.0,0.1429,0.0538,0.2822
2026-05-26,0.04504504504504504,0.014785567688502671,0.10199332558883982,1.0,0.4781762498950185,1.0,0.1163,0.0434,0.23340000000000002
2026-05-27,0.04201680672268908,0.013781395190122775,0.09533092973764726,1.0,0.4781762498950185,1.0,0.098,0.0364,0.19890000000000002
2026-05-28,0.1728395061728395,0.1274978187695833,0.22636074182527002,1.0,0.9159161450596448,1.0,0.7119000000000001,0.5890000000000001,0.8167000000000001
2026-05-29,0.1728395061728395,0.1274978187695833,0.22636074182527002,1.0,0.9159161450596448,1.0,0.6087,0.4912,0.7183
2026-05-30,0.1728395061728395,0.1274978187695833,0.22636074182527002,1.0,0.9159161450596448,1.0,0.506,0.3996,0.6121
2026-05-31,0.1728395061728395,0.1274978187695833,0.22636074182527002,1.0,0.9159161450596448,1.0,0.4242,0.32980000000000004,0.5225000000000001
2026-06-01,0.1569767441860465,0.120179105032338,0.19980380767834596,1.0,0.9339684857555782,1.0,0.4655,0.3763,0.5562
2026-06-02,0.1487603305785124,0.11377073146306083,0.18960063270734334,1.0,0.9339684857555782,1.0,0.4,0.3199,0.4839
2026-06-03,0.14285714285714285,0.10917504316685771,0.18225221831248575,1.0,0.9339684857555782,1.0,0.3462,0.2745,0.4228
2026-06-04,0.18222222222222223,0.147632816734167,0.22105150176251903,1.0,0.9560105458131576,1.0,0.4556,0.3839,0.5285000000000001
2026-06-05,0.1762295081967213,0.14344759851385006,0.21299175140064022,1.0,0.9580129846958555,1.0,0.41750000000000004,0.35150000000000003,0.48550000000000004
2026-06-06,0.1766990291262136,0.1447213751566845,0.21243959335558965,1.0,0.9602735023081505,1.0,0.3889,0.3279,0.45220000000000005
2026-06-07,0.18363636363636363,0.1521406309352235,0.2185747145499878,1.0,0.9641353796099963,1.0,0.3826,0.3254,0.44210000000000005
2026-06-08,0.1929530201342282,0.16201944459382614,0.22696443116400877,1.0,0.9684318040117529,1.0,0.38980000000000004,0.33540000000000003,0.44620000000000004
2026-06-09,0.2,0.16955548898242445,0.23326333460643922,1.0,0.9713714938656124,1.0,0.38720000000000004,0.3356,0.44060000000000005
2026-06-10,0.20118343195266272,0.17158246357471463,0.2334194437847783,1.0,0.9732404416208567,1.0,0.37570000000000003,0.3269,0.4263
2026-06-11,0.20609579100145137,0.176478445195995,0.23825464226712065,1.0,0.9743565015155368,1.0,0.3577,0.3116,0.4056
2026-06-12,0.20609579100145137,0.176478445195995,0.23825464226712065,1.0,0.9743565015155368,1.0,0.3287,0.2856,0.3739
2026-06-13,0.23175416133162613,0.20257979145646027,0.2629692977220567,1.0,0.9798257301870499,1.0,0.3876,0.3442,0.43220000000000003
2026-06-14,0.24583866837387963,0.2160070379871935,0.27760286021147035,1.0,0.9809704778312202,1.0,0.38320000000000004,0.34140000000000004,0.4263
2026-06-15,0.25096030729833546,0.22090059794002448,0.2829132877828604,1.0,0.9813551920506699,1.0,0.3664,0.32630000000000003,0.4077
2026-06-16,0.25096030729833546,0.22090059794002448,0.2829132877828604,1.0,0.9813551920506699,1.0,0.34450000000000003,0.3062,0.3841
2026-06-17,0.25975473801560756,0.23132925758998307,0.28976755680727595,1.0,0.9842925682535313,1.0,0.38830000000000003,0.34990000000000004,0.4277
2026-06-18,0.26746724890829693,0.2390424745329073,0.29739585943883906,1.0,0.9850561337717079,1.0,0.3889,0.3514,0.4273
2026-06-19,0.2583682008368201,0.23087658710703585,0.28735684313960863,1.0,0.9851762353944038,1.0,0.37310000000000004,0.33690000000000003,0.4103
2026-06-20,0.25324027916251246,0.22658587509853184,0.28135134594430516,1.0,0.9855818047557556,1.0,0.366,0.33080000000000004,0.4022
2026-06-21,0.2547709923664122,0.22863212331437827,0.28229464539328264,1.0,0.9862789753697232,1.0,0.3673,0.33280000000000004,0.4027
2026-06-22,0.253199268738574,0.2276667431341321,0.280066341562379,1.0,0.9867710279575302,1.0,0.3635,0.3299,0.398
2026-06-23,0.26216216216216215,0.23649686980558812,0.2890944957020189,1.0,0.9874034474730186,1.0,0.3647,0.33180000000000004,0.39840000000000003
2026-06-24,0.27297297297297296,0.2469455703769088,0.30020948328634156,1.0,0.9878992899779208,1.0,0.3629,0.33080000000000004,0.39580000000000004
2026-06-25,0.2891891891891892,0.26265482656296507,0.3168458675366386,1.0,0.98857394263048,1.0,0.36810000000000004,0.3366,0.40040000000000003
2026-06-26,0.2891891891891892,0.26265482656296507,0.3168458675366386,1.0,0.98857394263048,1.0,0.3543,0.32370000000000004,0.38580000000000003
2026-06-27,0.2891891891891892,0.26265482656296507,0.3168458675366386,1.0,0.98857394263048,1.0,0.3422,0.3124,0.3729
2026-06-28,0.2891891891891892,0.26265482656296507,0.3168458675366386,1.0,0.98857394263048,1.0,0.33230000000000004,0.30310000000000004,0.3624
2026-06-29,0.29932483120780196,0.27482997571752643,0.32470766026347786,1.0,0.9907972945765966,1.0,0.4026,0.3724,0.4333
2026-06-30,0.31152204836415365,0.2873740107738213,0.3364602578959318,1.0,0.9916132673108207,1.0,0.4315,0.40130000000000005,0.4621
2026-07-01,0.3095890410958904,0.28593464912789146,0.33401196729900595,1.0,0.9918719747572211,1.0,0.43210000000000004,0.40240000000000004,0.4622
2026-07-02,0.31491344873502,0.2914715570220421,0.33908126453316345,1.0,0.9922314330317699,1.0,0.43720000000000003,0.4078,0.46680000000000005
2026-07-03,0.3219895287958115,0.29859561509711957,0.3460695656058585,1.0,0.992530315336405,1.0,0.43770000000000003,0.40890000000000004,0.46680000000000005
2026-07-04,0.3241511851377322,0.30096067795255915,0.3480050213076693,1.0,0.992736233998274,1.0,0.43320000000000003,0.405,0.4617
2026-07-05,0.3208128078817734,0.2981432123142545,0.3441319328970284,1.0,0.9929446240269331,1.0,0.4292,0.4015,0.4571
2026-07-06,0.3395784543325527,0.3171187074145599,0.3625907592880929,1.0,0.9936600458701595,1.0,0.46,0.43260000000000004,0.48750000000000004
2026-07-07,0.34110289937464466,0.3189443503578466,0.36379276062333915,1.0,0.9938707286693308,1.0,0.45840000000000003,0.4315,0.4854
