date,n,naive,naive_lower,naive_upper,delay_adjusted,delay_adjusted_lower,delay_adjusted_upper,competing_risks,competing_risks_lower,competing_risks_upper
2008-11-18,1,0.0,0.0,0.975,,,,,,
2008-11-27,2,1.0,0.15811388300841897,1.0,,,,1.0,0.9999999999989999,0.9999999999989999
2008-12-01,3,0.6666666666666666,0.09429932405024609,0.9915962413403874,,,,1.0,0.9999999999989999,0.9999999999989999
2008-12-03,7,0.2857142857142857,0.03669256617608555,0.7095791362626572,,,,1.0,0.9999999999989999,0.9999999999989999
2008-12-04,8,0.25,0.031854026249944226,0.6508557944128242,0.6667000000000001,0.16090000000000002,0.9772000000000001,1.0,0.9999999999989999,0.9999999999989999
2008-12-05,9,0.2222222222222222,0.028144973477898197,0.600093573716312,0.5,0.1073,0.8927,1.0,0.9999999999989999,0.9999999999989999
2008-12-06,10,0.2,0.02521072632683336,0.5560954623076415,0.4,0.08080000000000001,0.8008000000000001,1.0,0.9999999999989999,0.9999999999989999
2008-12-08,11,0.18181818181818182,0.02283119829995966,0.5177558523601726,0.33330000000000004,0.0649,0.7191000000000001,1.0,0.9999999999989999,0.9999999999989999
2008-12-09,12,0.16666666666666666,0.020862525460092384,0.48413774868596704,0.2857,0.0543,0.6497,1.0,0.9999999999989999,0.9999999999989999
2008-12-10,14,0.14285714285714285,0.017794515483191515,0.428129160909699,0.25,0.0466,0.5912000000000001,0.5357142857142857,0.07884857545259209,0.9395904495860222
2008-12-14,17,0.23529411764705882,0.06810774043735666,0.4989932732045801,0.4,0.1457,0.6999000000000001,0.37254901960784315,0.141645594600273,0.6811572383299149
2008-12-18,19,0.42105263157894735,0.2025214389771628,0.6650021559882646,0.6154000000000001,0.3481,0.8410000000000001,0.6174089068825912,0.3313687227287411,0.8401212558691938
2008-12-20,23,0.34782608695652173,0.1637635983749499,0.5726560369635056,0.5333,0.29100000000000004,0.7651,0.6014492753623187,0.31678202069393774,0.8308431866204076
2008-12-21,27,0.2962962962962963,0.13752655394057922,0.5018136663700014,0.5,0.2691,0.7309,0.5701058201058201,0.30395415072945686,0.8010873930818984
2008-12-25,28,0.35714285714285715,0.18640666000044545,0.5593496872533334,0.4762,0.2748,0.6831,0.598643543956044,0.34007516623253975,0.8119288005982455
2008-12-27,31,0.3225806451612903,0.16682363742295941,0.5137298295927499,0.4545,0.26030000000000003,0.6588,0.5024552929676269,0.28573139488203597,0.7182604936483583
